bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,timeslots,timeslots,timeslots,timeslots,timeslots,timeslots,timeslots,timeslots,timeslots,content,content,content,content,content,content,content,categories,categories,categories,categories,categories
vini,Vino Rosso Agapanto Bolgheri Doc,TRUE,"6,5",Agapanto Bolgheri DOC,Agapanto Bolgheri Red Wine,Agapanto Bolgheri DOC,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,dolci,copa del re,TRUE,5,,,,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,aperitivo,Aperitivo,Aperitivo,sab,"0,75","0,875",FALSE,TRUE,FALSE,,,,,,,,,,,,
vini_bottiglie,Bottiglia Agapanto Bolgheri Doc,TRUE,26,Agapanto Bolgheri DOC Bottiglia,Bottle Agapanto Bolgheri Red Wine,Agapanto Bolgheri DOC Bottle,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,cena,Cena,Dinner,lun,"0,7916666667","0,9375",TRUE,TRUE,TRUE,,,,,,,,,,,,
vini,Vino Bianco Passerina Offida Bio,TRUE,5,Passerina Offida Bio,Passerina Offida White Wine Bio,Passerina Offida Bio,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,cena,Cena,Dinner,mar,"0,7916666667","0,9375",TRUE,TRUE,TRUE,,,,,,,,,,,,
vini_bottiglie,Bottiglia Passerina Offida Bio,TRUE,18,Passerina Offida Bio Bottiglia,Bottle Passerina Offida White Wine Bio,Passerina Offida Bio Bottle,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,cena,Cena,Dinner,mer,"0,7916666667","0,9375",TRUE,TRUE,TRUE,,,,,,,,,,,,
vini,Vino Bianco Chardonnay Molino Delle Balze Igt,TRUE,"6,5",Chardonnay Molino Delle Balze IGT,Chardonnay White Wine,Chardonnay Molino Delle Balze IGT,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,cena,Cena,Dinner,gio,"0,7916666667","0,9375",TRUE,TRUE,TRUE,,,,,,,,,,,,
vini_bottiglie,Bottiglia Chardonnay Molino Delle Balze Igt,TRUE,26,Chardonnay Molino Delle Balze IGT Bottiglia,Bottle Chardonnay White Wine,Chardonnay Molino Delle Balze IGT Bottle,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,cena,Cena,Dinner,ven,"0,7916666667","0,9791666667",TRUE,TRUE,TRUE,,,,,,,,,,,,
vini,Prosecco Brut San Giorgio Doc,TRUE,5,Prosecco Brut San Giorgio DOC,Prosecco Brut,Prosecco Brut San Giorgio DOC,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,cena,Cena,Dinner,sab,"0,7916666667","0,9791666667",TRUE,TRUE,TRUE,,,,,,,,,,,,
vini_bottiglie,Bottiglia Prosecco Brut San Giorgio Doc,TRUE,18,Prosecco Brut San Giorgio DOC Bottiglia,Bottle Prosecco Brut,Prosecco Brut San Giorgio DOC Bottle,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vini,Quartino (Vino Della Casa),TRUE,3,"Vino della casa 0,25L",Quartino (House Wine),House wine 0.25L,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vini,Mezzo Litro (Vino Della Casa),TRUE,5,"Vino della casa 0,5L",Half Liter (House Wine),House wine 0.5L,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vini,1 Litro (Vino Della Casa),TRUE,10,Vino della casa 1L,1 Liter (House Wine),House wine 1L,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amari,Amaro Del Capo,TRUE,"3,5",Amaro alle erbe,Amaro Del Capo,Herbal Bitter Liqueur,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amari,Limoncello,TRUE,"3,5",Liquore al limone,Limoncello,Lemon Liqueur,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birre,"Stella Artois 0,4L",TRUE,"4,5","Birra Stella Artois 0,4L",Stella Artois 0.4L,Stella Artois Beer 0.4L,non_specificato,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birre,"Goose Island Ipa 0,4L",TRUE,6,"Birra Goose Island IPA 0,4L",Goose Island Ipa 0.4L,Goose Island IPA Beer 0.4L,non_specificato,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birre,"Hoegaarden 0,4L",TRUE,6,"Birra Hoegaarden 0,4L",Hoegaarden 0.4L,Hoegaarden Beer 0.4L,non_specificato,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birre,"Leffe Rouge 0,3L",TRUE,6,"Birra Leffe Rouge 0,3L",Leffe Rouge 0.3L,Leffe Rouge Beer 0.3L,non_specificato,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birre,"Goose Island Ipa 0,2",TRUE,4,"Birra Goose Island IPA 0,2L",Goose Island Ipa 0.2L,Goose Island IPA Beer 0.2L,non_specificato,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birre,"Hoegaarden 0,2",TRUE,4,"Birra Hoegaarden 0,2L",Hoegaarden 0.2L,Hoegaarden Beer 0.2L,non_specificato,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caffetteria,Caffè,TRUE,"1,1",Espresso,Espresso Coffee,Espresso,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caffetteria,Cappuccino,TRUE,"1,5",Cappuccino,Cappuccino,Cappuccino,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caffetteria,Decaffeinato,TRUE,"1,3",Caffè decaffeinato,Decaffeinated Coffee,Decaffeinated coffee,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caffetteria,Cioccolata Calda,TRUE,3,Cioccolata calda,Hot Chocolate,Hot chocolate,vegetariano,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caffetteria,Orzo,TRUE,2,Bevanda a base di orzo,Barley Coffee,Barley-based drink,non_specificato,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caffetteria,Tè E Infusi,TRUE,"1,5",Tè e tisane,Tea And Infusions,Tea and herbal infusions,non_specificato,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
